id;budget;genres;imdb_id;original_title;overview;popularity;poster_path;production_countries;release_date;title;vote_average;vote_count
10035;0;[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];tt0214388;100 Girls;"This sexy, teen-comedy is about a freshman, Matthew, at college who meets his dream girl in a dorm elevator during a blackout. He never sees her face, but instantly falls in love. In the morning, the power is restored, but the ""dream girl"" has vanished. All Matthew knows is that she lives in an all-girls dorm. He sets out on a semester-long journey to find his mystery girl amongst a hundred female suspects. Could it be Wendy? Dora? Arlene? Patty? Cynthia? Or the 95 other girls, any of whom could have been in that elevator with Matthew.";5.136.537;/mi61ZTuyEIT6XO3O1HAyDKWmKhQ.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];01/09/2000;100 Girls;5.6;119
20648;0;[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}];tt0265010;100 Women;A young man returns to his ex-girlfriend and true love to discover the source of her increasing depression. As the young man earnestly tries to help his girlfriend through her troubles, their love begins to bloom.;1.020.766;/alSS29CiaosHPBOnZrrMBLpfcgZ.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];18/10/2002;100 Women;4.7;9
11674;54000000;[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}];tt0115433;101 Dalmatians;The Live action adaptation of a Disney Classic. When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.;11.470.748;/lwIaH4L36ASLvAVCkArgzC4GeCS.jpg;[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}];17/11/1996;101 Dalmatians;5.6;722
13654;0;[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}];tt0324941;101 Dalmatians II: Patch's London Adventure;Being one of 101 takes its toll on Patch, who doesn't feel unique. When he's accidentally left behind on moving day, he meets his idol, Thunderbolt, who enlists him on a publicity campaign.;10.398.905;/ht4h6I7WwaZa1E8xzb1jE94mDvS.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];21/01/2003;101 Dalmatians II: Patch's London Adventure;5.7;231
10481;85000000;[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}];tt0211181;102 Dalmatians;Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil;7.668.752;/dSxnIika9yWwTvEbpsmoGdeh65E.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];07/10/2000;102 Dalmatians;5.1;327
17134;20000000;[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}];tt1160368;12 Rounds;When New Orleans cop Danny Fisher prevents a brilliant thief from successfully carrying out his latest heist, the thief's girlfriend is accidentally killed. Hungry for revenge, the criminal mastermind breaks out of prison and kidnaps Danny's fiancee. To save her, Danny must successfully navigate his way through an elaborate series of tasks and puzzles, or else watch the love of his life die.;13.591.485;/i36NEi5TSYSxmu6dO0K1cAWxjGx.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];19/03/2009;12 Rounds;5.7;223
195269;4000000;[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}];tt2317524;12 Rounds 2: Reloaded;Nick Malloy portrays an Emergency Medical Technician (EMT) who finds himself caught in a deadly 12-round game of cat and mouse with a vigilante tied to the paramedic's past. With little time to spare and his wife's life hanging in the balance, the EMT must figure out why he's been chosen to be the pawn in this maniac's game before it's too late;635.611;/5Snn69jLOifKply05tttfFM0k4a.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];01/06/2013;12 Rounds 2: Reloaded;5.6;101
351901;0;[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}];tt3957956;12 Rounds 3: Lockdown;Lockdown Follows a police officer who returns to duty after recovering from a gun shot wound to discover incriminating evidence of illegal activities against those closest to him. He quickly finds himself trapped inside his own precinct, hunted and in search of the truth, as the crooked cops stop at nothing to recover the evidence.;3.777.312;/nCtKVLCh0h8QBsPO6P4drq2vPCR.jpg;[{'iso_3166_1': 'US', 'name': 'United States of America'}];11/09/2015;12 Rounds 3: Lockdown;4.6;41
84165;8000000;[{'id': 35, 'name': 'Comedy'}];tt1602472;2 Days in New York;Marion and Mingus live cozily – perhaps too cozily – with their cat and two young children from previous relationships. However, when Marion’s jolly father, her oversexed sister, and her sister’s outrageous boyfriend unceremoniously descend upon them for a visit, it initiates two unforgettable days that will test Marion and Mingus’s relationship. With their unwitting racism and sexual frankness, the French triumvirate hilariously has no boundaries or filters… and no person is left unscathed in its wake.;468.182;/7Zo1oQ7ssDfT3OKUAWqu9TD4J0H.jpg;[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}];28/03/2012;2 Days in New York;5.4;94
1845;0;[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}];tt0841044;2 Days in Paris;"Adam Goldberg delivers ""an uproarious study in transatlantic culture panic"" as Jack, an anxious, hypochondriac-prone New Yorker vacationing throughout Europe with his breezy, free-spirited Parisian girlfriend, Marion. But when they make a two-day stop in Marion's hometown, the couple's romantic trip takes a turn as Jack is exposed to Marion's sexually perverse and emotionally unstable family.";6.653.254;/AiN3f2DNyHL6pPVDvGKSczx0pt0.jpg;[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}];09/02/2007;2 Days in Paris;6.3;106
